City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Alfred,ZA,2021-06-06 03:08:17,-33.5906,26.891,56.5,56,0,11.45
68,Margate,GB,2021-06-06 03:08:17,51.3813,1.3862,58.21,83,8,5.55
69,Paamiut,GL,2021-06-06 03:08:18,61.994,-49.6678,39.34,94,100,12.41
70,Altay,CN,2021-06-06 03:08:18,47.8667,88.1167,54.57,49,0,4.97
71,Qaanaaq,GL,2021-06-06 03:08:18,77.484,-69.3632,34.88,71,80,6.82
72,Cabo San Lucas,MX,2021-06-06 03:07:43,22.8909,-109.9124,90.81,63,1,15.17
73,San Nicolas,PH,2021-06-06 03:08:19,18.1725,120.5953,84.11,84,75,11.5
74,Yar-Sale,RU,2021-06-06 03:08:19,66.8333,70.8333,39.43,70,97,11.56
75,Cozumel,MX,2021-06-06 03:08:20,20.5083,-86.9458,82.38,79,100,10.18
76,Barrow,US,2021-06-06 03:08:20,71.2906,-156.7887,33.82,86,75,11.5
77,Carauari,BR,2021-06-06 03:08:20,-4.8828,-66.8958,73.9,94,100,0.96
78,Nurota,UZ,2021-06-06 03:08:21,40.5614,65.6886,86.09,12,0,1.83
79,Londoko,RU,2021-06-06 03:08:21,49.0333,131.9833,66.13,48,98,4.56
80,New Norfolk,AU,2021-06-06 03:08:21,-42.7826,147.0587,54.57,47,100,4.38
81,Sabang,ID,2021-06-06 03:08:22,5.8933,95.3214,82.99,75,95,16.42
82,Saldanha,ZA,2021-06-06 03:08:22,-33.0117,17.9442,66.0,34,36,19.75
83,Saint-Raphael,HT,2021-06-06 03:08:22,19.4333,-72.2,71.96,90,86,2.48
84,Sao Filipe,CV,2021-06-06 03:08:22,14.8961,-24.4956,78.22,61,100,11.41
85,Mackenzie,CA,2021-06-06 03:08:23,55.2999,-123.1698,56.59,42,75,9.04
86,Udaipura,IN,2021-06-06 03:08:23,23.0833,78.5,87.42,51,22,12.86
87,Avera,US,2021-06-06 03:08:23,33.194,-82.5271,75.7,93,100,4.7
88,Faya,SA,2021-06-06 03:08:24,18.3851,42.4509,66.72,56,0,2.08
89,Pangnirtung,CA,2021-06-06 03:08:24,66.1451,-65.7125,27.66,96,64,2.68
90,Bauchi,NG,2021-06-06 03:08:24,10.5,10.0,76.68,73,79,4.9
91,Hobart,AU,2021-06-06 03:08:25,-42.8794,147.3294,54.91,62,75,1.99
92,Karratha,AU,2021-06-06 03:08:25,-20.7377,116.8463,79.02,49,58,17.27
93,Akdepe,TM,2021-06-06 03:08:25,42.0551,59.3788,82.49,29,5,10.4
94,Alice Springs,AU,2021-06-06 03:07:07,-23.7,133.8833,65.75,34,0,13.09
95,Bredasdorp,ZA,2021-06-06 03:08:26,-34.5322,20.0403,51.94,45,0,5.14
96,Lagoa,PT,2021-06-06 03:08:26,39.05,-27.9833,62.98,88,99,9.95
97,Guiyang,CN,2021-06-06 03:08:26,26.5833,106.7167,79.29,53,0,4.47
98,Florianopolis,BR,2021-06-06 03:08:27,-27.6146,-48.5012,70.63,91,0,14.97
99,Pedernales,DO,2021-06-06 03:08:27,18.0384,-71.744,79.59,68,2,7.65
100,Port Blair,IN,2021-06-06 03:08:27,11.6667,92.75,85.44,73,100,12.73
101,Phan Thiet,VN,2021-06-06 03:08:28,10.9333,108.1,87.03,65,100,12.41
102,Kangasala,FI,2021-06-06 03:08:28,61.4638,24.076,61.07,79,86,3.71
103,Flinders,AU,2021-06-06 03:08:28,-34.5833,150.8552,68.2,48,5,3.0
104,Tromso,NO,2021-06-06 03:08:29,69.6496,18.957,47.05,81,0,8.05
105,Galbshtadt,RU,2021-06-06 03:08:29,53.2264,78.9845,65.07,50,14,9.73
106,San Andres,CO,2021-06-06 03:03:35,12.5847,-81.7006,81.39,82,24,15.55
107,Kapaa,US,2021-06-06 03:08:29,22.0752,-159.319,84.18,71,40,1.01
108,Harper,LR,2021-06-06 03:08:30,4.375,-7.7169,77.7,88,83,3.4
109,Moanda,GA,2021-06-06 03:08:30,-1.5575,13.2178,71.82,90,99,2.28
110,Changji,CN,2021-06-06 03:08:30,44.0167,87.3167,57.99,67,0,2.68
111,Saint George,US,2021-06-06 03:08:31,37.1041,-113.5841,97.39,10,1,1.01
112,Lebu,CL,2021-06-06 03:08:31,-37.6167,-73.65,48.52,79,91,10.98
113,Tuatapere,NZ,2021-06-06 03:08:31,-46.1333,167.6833,49.82,74,46,0.16
