City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Torbay,CA,47.6666,-52.7314,60.58,89,20,17.27,few clouds
81,Vila Velha,BR,-20.3297,-40.2925,62.55,88,75,3.44,broken clouds
82,Brae,GB,60.3964,-1.353,48.11,80,100,11.68,overcast clouds
83,Si Racha,TH,13.1737,100.9311,91.04,58,88,13.56,overcast clouds
84,Porto Novo,BJ,6.4965,2.6036,78.62,90,26,6.24,scattered clouds
85,Lichinga,MZ,-13.3128,35.2406,55.49,82,75,11.5,broken clouds
86,Sharjah,AE,25.3573,55.4033,90.25,42,0,5.75,clear sky
87,Iglesias,IT,39.3114,8.535,68.76,77,15,4.54,few clouds
88,Phalaborwa,ZA,-23.943,31.1411,56.48,27,0,4.45,clear sky
89,Cartagena Del Chaira,CO,1.3349,-74.8429,68.05,95,100,2.21,overcast clouds
90,Salinopolis,BR,-0.6136,-47.3561,77.49,80,87,6.76,overcast clouds
91,Great Falls,US,47.5002,-111.3008,91.85,17,1,5.01,clear sky
92,Hibbing,US,47.4272,-92.9377,67.51,60,1,0.0,clear sky
93,Husavik,IS,66.0449,-17.3389,51.71,73,99,1.61,moderate rain
94,Kodiak,US,57.79,-152.4072,58.51,82,90,6.91,overcast clouds
95,Twin Falls,US,42.3505,-114.6445,68.23,78,100,6.53,overcast clouds
96,Hilo,US,19.7297,-155.09,77.25,83,93,3.0,overcast clouds
97,Chicama,PE,-7.8447,-79.1469,63.14,81,3,5.86,clear sky
98,Kruisfontein,ZA,-34.0033,24.7314,57.88,85,88,10.13,light rain
99,Mataura,NZ,-46.1927,168.8643,46.47,80,100,4.25,overcast clouds
100,Qaanaaq,GL,77.484,-69.3632,41.27,85,69,2.68,broken clouds
101,Mar Del Plata,AR,-38.0023,-57.5575,43.09,1,0,5.01,clear sky
102,Vagur,FO,61.4732,-6.8119,49.78,79,44,4.97,scattered clouds
103,Izhma,RU,65.0083,53.9113,52.99,91,9,1.77,clear sky
104,Katsuura,JP,35.1333,140.3,89.64,80,77,9.57,light rain
105,Merauke,ID,-8.4667,140.3333,81.82,60,3,11.5,clear sky
106,Pahrump,US,36.2083,-115.9839,98.51,23,1,1.79,clear sky
107,Beringovskiy,RU,63.05,179.3167,45.41,74,98,23.31,overcast clouds
108,Atuona,PF,-9.8,-139.0333,77.22,70,22,11.05,few clouds
109,Ust-Nera,RU,64.5667,143.2,60.1,42,3,4.52,clear sky
110,Hithadhoo,MV,-0.6,73.0833,81.14,73,83,6.44,light rain
111,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,82,75,5.75,broken clouds
112,Lebu,CL,-37.6167,-73.65,50.13,79,6,19.57,clear sky
113,Karpathos,GR,35.507,27.2132,79.79,79,1,17.29,clear sky
114,Lapeer,US,43.0514,-83.3188,64.27,88,1,0.0,clear sky
115,Saldanha,ZA,-33.0117,17.9442,46.45,87,37,7.52,scattered clouds
116,Constitucion,CL,-35.3333,-72.4167,53.71,61,0,5.64,clear sky
117,Vardo,NO,70.3705,31.1107,47.26,95,100,17.16,overcast clouds
118,La Ronge,CA,55.1001,-105.2842,80.82,47,20,3.44,smoke
119,Skjervoy,NO,70.0311,20.9714,47.64,72,74,9.08,broken clouds
120,Imeni Babushkina,RU,59.7573,43.1285,57.49,99,97,5.55,overcast clouds
121,Nayoro,JP,44.3506,142.4578,80.11,69,83,4.12,broken clouds
122,Hami,CN,42.8,93.45,76.1,28,5,3.42,clear sky
123,Pingzhuang,CN,42.0372,119.2889,71.78,67,35,14.61,scattered clouds
124,Chokurdakh,RU,70.6333,147.9167,47.28,53,51,7.36,broken clouds
125,Esperance,AU,-33.8667,121.9,53.44,66,100,17.81,overcast clouds
126,Upernavik,GL,72.7868,-56.1549,42.24,80,5,9.35,clear sky
127,Iqaluit,CA,63.7506,-68.5145,47.93,93,90,0.0,light rain
128,Yarke Pole,UA,45.608,34.3172,71.64,68,0,3.36,clear sky
